Q205139,"Carl Nielsen",1865-08-09,1931-10-03,"Romantic",2022-06-11T03:11:27+00:00
Q154331,"György Ligeti",1923-05-28,2006-06-11,"Contemporary",2022-06-11T02:59:27+00:00
Q80135,"Dmitri Shostakovich",1906-09-25T00:00:00Z,1975-08-09T00:00:00Z,"Modernism",2022-06-11T02:38:15+00:00
Q7312,"Franz Schubert",1797-01-31,1828-11-19,"Romantic",2022-06-11T02:01:09+00:00
Q992923,"Michael Land",1961-01-01T00:00:00Z,None,"Contemporary",2022-06-11T01:57:10+00:00
None,"Asy Saavedra",None,None,"None",2022-06-11T01:54:09+00:00
None,"Silkersoft",None,None,"None",2022-06-11T01:50:02+00:00
None,"Ryan Ike",None,None,"None",2022-06-11T01:45:40+00:00
Q7352246,"Robin Beanland",1968-08-27,None,"Contemporary",2022-06-11T01:41:32+00:00
None,"Aperture Science Acoustic Laboratory",None,None,"None",2022-06-11T01:39:56+00:00
Q3574299,"Yū Miyake",1973-11-19T00:00:00Z,None,"Contemporary",2022-06-11T01:33:44+00:00
Q1707671,"Peter McConnell",1960-01-01,None,"Contemporary",2022-06-11T01:28:43+00:00
None,"Toby Fox",None,None,"None",2022-06-11T01:25:16+00:00
None,"Seth Parker",None,None,"None",2022-06-11T01:20:54+00:00
None,"Black Heron",None,None,"None",2022-06-11T01:17:05+00:00
Q316449,"Jesper Kyd",1972-02-03,None,"Contemporary",2022-06-11T01:13:36+00:00
Q21561369,"Blake Robinson",None,None,"None",2022-06-11T01:09:54+00:00
Q4700,"Claude Debussy",1862-08-22,1918-03-25,"Romantic",2022-06-11T01:05:10+00:00
Q7964051,"Walt Ribeiro",1984-01-25T00:00:00Z,None,"Contemporary",2022-06-11T01:00:22+00:00
Q95008,"John Carpenter",1948-01-16T00:00:00Z,None,"Modernism",2022-06-11T00:57:19+00:00
Q371782,"Alison Krauss",1971-07-23T00:00:00Z,None,"Contemporary",2022-06-11T00:53:41+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-11T00:51:12+00:00
Q131285,"John Williams",1932-02-08,None,"Modernism",2022-06-11T00:46:31+00:00
Q297232,"Clint Mansell",1963-01-07T00:00:00Z,None,"Contemporary",2022-06-11T00:42:42+00:00
None,"The Polyphonic Spree",None,None,"None",2022-06-11T00:39:31+00:00
Q7542,"Prince",1958-06-07,2016-04-21,"Contemporary",2022-06-11T00:30:56+00:00
Q1511,"Richard Wagner",1813-05-22,1883-02-13,"Romantic",2022-06-11T00:26:05+00:00
Q594694,"Lesley Barber",1968-06-23T00:00:00Z,None,"Contemporary",2022-06-11T00:23:47+00:00
Q433734,"Hildur Guðnadóttir",1982-09-04,None,"Contemporary",2022-06-11T00:21:39+00:00
Q76364,"Hans Zimmer",1957-09-12,None,"Contemporary",2022-06-11T00:17:06+00:00
Q93341,"Miles Davis",1926-05-26,1991-09-28,"Modernism",2022-06-11T00:14:18+00:00
Q157256,"Yann Tiersen",1970-06-23,None,"Contemporary",2022-06-11T00:12:22+00:00
Q1779,"Louis Armstrong",1901-08-04,1971-07-06,"Modernism",2022-06-11T00:08:18+00:00
Q181894,"Pietro Mascagni",1863-12-07,1945-08-02,"Modernism",2022-06-11T00:05:09+00:00
Q189729,"Philip Glass",1937-01-31,None,"Modernism",2022-06-11T00:01:14+00:00
Q544334,"Lloyd Miller",1938-11-11T00:00:00Z,None,"Modernism",2022-06-10T23:58:10+00:00
None,"Azu Tiwaline",None,None,"None",2022-06-10T23:50:32+00:00
None,"Vongoiva",None,None,"None",2022-06-10T23:45:06+00:00
None,"Yard Nule",None,None,"None",2022-06-10T23:41:23+00:00
None,"Ye Vagabonds",None,None,"None",2022-06-10T23:37:15+00:00
None,"El Peke y sus Mochileros",None,None,"None",2022-06-10T23:32:34+00:00
None,"Romperayo",None,None,"None",2022-06-10T23:28:50+00:00
Q2347446,"Pierre Bastien",1953-01-01T00:00:00Z,None,"Contemporary",2022-06-10T23:24:06+00:00
None,"Silvia Tarozzi",None,None,"None",2022-06-10T23:19:45+00:00
None,"Hann Bennink",None,None,"None",2022-06-10T23:11:41+00:00
None,"Pierre Huguet",None,None,"None",2022-06-10T23:11:38+00:00
None,"Ruth Tafebe",None,None,"None",2022-06-10T23:01:53+00:00
None,"Jaroslav Kořán",None,None,"None",2022-06-10T22:54:38+00:00
None,"Bruno Berle",None,None,"None",2022-06-10T22:50:23+00:00
None,"Nightports",None,None,"None",2022-06-10T22:46:38+00:00
None,"Conjunto Selva Alegre de San Martín",None,None,"None",2022-06-10T22:43:28+00:00
None,"Curlew",None,None,"None",2022-06-10T22:38:42+00:00
None,"Christian Reiner",None,None,"None",2022-06-10T22:35:54+00:00
None,"Perrate",None,None,"None",2022-06-10T22:31:36+00:00
None,"Razen",None,None,"None",2022-06-10T22:27:52+00:00
None,"Kenny Carstairs",None,None,"None",2022-06-10T22:24:13+00:00
None,"Lucrecia Dalt",None,None,"None",2022-06-10T22:22:43+00:00
None,"COBRACORAL",None,None,"None",2022-06-10T22:13:15+00:00
Q5650023,"Hans Fredrik Jacobsen",1954-09-08T00:00:00Z,None,"Contemporary",2022-06-10T22:10:40+00:00
Q517506,"Vieux Farka Touré",1981-01-01T00:00:00Z,None,"Contemporary",2022-06-10T22:04:16+00:00
None,"Les Mamans du Congo",None,None,"None",2022-06-10T22:00:18+00:00
Q193283,"Manuel de Falla",1876-11-23,1946-11-14,"Modernism",2022-06-10T20:55:08+00:00
Q7314,"Igor Stravinsky",1882-06-18,1971-04-06,"Modernism",2022-06-10T20:32:18+00:00
Q7304,"Gustav Mahler",1860-07-07,1911-05-18,"Romantic",2022-06-10T19:34:40+00:00
Q7351,"Robert Schumann",1810-06-08,1856-07-29,"Romantic",2022-06-10T19:10:28+00:00
