Igor Stravinsky,1882-06-18T00:00:00Z,1971-04-06T00:00:00Z,None,Movements for Piano a... ,Mon Mar 28 23:50:04 +0000 2022
Henry Purcell,1659-09-10T00:00:00Z,1695-11-21T00:00:00Z,Baroque music,Three Consorts from \'... ,Mon Mar 28 23:40:04 +0000 2022
Oliver Knussen,1952-06-12T00:00:00Z,2018-07-08T00:00:00Z,None,The Way to Castle Yonder ,Mon Mar 28 23:31:26 +0000 2022
Gaby Kerpel,1969-12-31T00:00:00Z,None,None,Se que no vas a volve... ,Mon Mar 28 23:26:00 +0000 2022
Theo Verbey,1959-07-05T00:00:00Z,2019-10-13T00:00:00Z,None,Religious (4 Preludes to Infinity) ,Mon Mar 28 23:22:18 +0000 2022
Olovson,None,None,None,Labyrinter ,Mon Mar 28 23:18:27 +0000 2022
Tomás Luis de Victoria,1548-01-01T00:00:00Z,1611-08-27T00:00:00Z,Renaissance music,O quam gloriosum est ... ,Mon Mar 28 23:15:43 +0000 2022
Nicola LeFanu,1947-04-28T00:00:00Z,None,None,Threnody ,Mon Mar 28 23:08:05 +0000 2022
Nils Mönkemeyer,None,None,None,Messages Between Trees ,Mon Mar 28 23:01:22 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Sonata Representativa... ,Mon Mar 28 23:00:35 +0000 2022
Jaco Pastorius,None,None,None,Portrait of Tracy ,Mon Mar 28 22:56:33 +0000 2022
Najib Hankash,None,None,None,Aatini Al Naya Wa Gha... ,Mon Mar 28 22:51:07 +0000 2022
Johannes Hieronymus Kapsberger,1580-01-01T00:00:00Z,1651-01-17T00:00:00Z,Baroque music,Toccata no.4 ,Mon Mar 28 22:47:13 +0000 2022
Hiromi Uehara,1979-03-26T00:00:00Z,None,None,Moonlight Sunshine ,Mon Mar 28 22:39:08 +0000 2022
Richard Strauss,1866-06-11T00:00:00Z,1949-09-08T00:00:00Z,None,Prelude from \'Capriccio\' ,Mon Mar 28 22:27:36 +0000 2022
Nico,1938-10-16T00:00:00Z,1988-07-18T00:00:00Z,None,No One is There ,Mon Mar 28 22:23:06 +0000 2022
Philip Glass,1937-01-31T00:00:00Z,None,None,Where everything is music (Mon... ,Mon Mar 28 22:17:22 +0000 2022
George Gershwin,1898-09-26T00:00:00Z,1937-07-11T00:00:00Z,None,Embraceable You ,Mon Mar 28 22:11:41 +0000 2022
Margaret Tobolowska,None,None,None,Healing Hearts EnchantenMusic,Mon Mar 28 22:07:14 +0000 2022
Traditional English,None,None,None,Scarborough Fair ,Mon Mar 28 22:00:28 +0000 2022
Frédéric Chopin,1810-02-22T00:00:00Z,1849-10-17T00:00:00Z,western classical music,Mazurka in A minor,Mon Mar 28 20:55:47 +0000 2022
Olivier Messiaen,1908-12-10T00:00:00Z,1992-04-27T00:00:00Z,20th-century classical music,Quatuor pour la fin du temps: ... ,Mon Mar 28 20:42:09 +0000 2022
Johann Sebastian Bach,1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,Baroque music,Sonata No.3 in C,Mon Mar 28 20:32:52 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,Clarinet Concerto in ... ,Mon Mar 28 20:02:30 +0000 2022
Anton Bruckner,1824-09-04T00:00:00Z,1896-10-11T00:00:00Z,None,Symphony No.8 in C minor ,Mon Mar 28 18:31:34 +0000 2022
Dmitri Shostakovich,1906-09-25T00:00:00Z,1975-08-09T00:00:00Z,None,Prelude and fugue for piano no. 7 (Op.87`7... ,Mon Mar 28 18:25:51 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,Ein Mädchen oder Weib... ,Mon Mar 28 18:21:45 +0000 2022
Franz Schubert,1797-01-31T00:00:00Z,1828-11-19T00:00:00Z,None,Octet in F major,Mon Mar 28 18:15:41 +0000 2022
Ludwig van Beethoven,1770-12-16T00:00:00Z,1827-03-26T00:00:00Z,Classical period,String Quartet in B flat major,Mon Mar 28 18:07:55 +0000 2022
Karine Polwart,None,None,None,Follow the Heron ,Mon Mar 28 18:04:50 +0000 2022
Edward Elgar,1857-06-02T00:00:00Z,1934-02-23T00:00:00Z,None,Pomp and Circumstance Ma... ,Mon Mar 28 18:02:12 +0000 2022
Claude Debussy,1862-08-22T00:00:00Z,1918-03-25T00:00:00Z,impressionism in music,Doctor Gradus ad Parnassum (Children\'s Corner) ,Mon Mar 28 18:00:18 +0000 2022
Antonín Dvořák,1841-09-08T00:00:00Z,1904-05-01T00:00:00Z,Romantic music,Slavonic Dance in G m... ,Mon Mar 28 17:55:41 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,Violin Sonata No. 22 ... ,Mon Mar 28 17:48:00 +0000 2022
Caro Boccadoro,None,None,None,Come d\'Autunno ,Mon Mar 28 17:39:55 +0000 2022
Ermanno Wolf‐Ferrari,None,None,None,Violin Concerto In D,Mon Mar 28 17:27:22 +0000 2022
Maya Youssef,None,None,None,Horizon Mayaqanun,Mon Mar 28 17:24:35 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,Don Giovanni; Overture ,Mon Mar 28 17:13:49 +0000 2022
